ROLE,NAME,WEEKLY GEXP,PREDICTED GEXP,DAYS IN GUILD,JOIN DATE,UUID,BEDWARS WINS,BW WINS BONUS,KICK PRIORITY,REQUIREMENTS MET
Guild Master,Bluq,315271,315271,2488,08/04/19,eaeac5e8f7a6413caaa37b1f02a817a2,18146,0,,BW

Master,spicily,117820,117820,986,19/05/23,d29932cf0d7b4df0a3a132f1f46eff3f,3877,0,,BW
Master,Tiddles76,95993,95993,409,16/12/24,194016af5611447ea7ca75095d091cef,16738,0,,"AP,BW,SW"
Master,U9C,0,0,1739,26/04/21,d99951fee6d04cd99ce78afe6f6a34f0,9560,0,,BW

Senate,8thirtyto3thirty,455770,455770,39,21/12/25,18f19d781d654583a03dc6cd74eb362f,138,0,,-
Senate,zock_zock,161311,161311,1804,20/02/21,2f50d33ae54a4ca6b47ec93d5150592b,39875,0,,"BW,DU"
Senate,MRSCLAUSPEY,129966,129966,126,25/09/25,c5424f304b7445d0931c1eef8fa64c00,4317,0,,AP
Senate,MRCLAUSLOCAL,103306,103306,888,25/08/23,6836c7549eb44d3ab1b04e2dca7a2a9a,13188,0,,"AP,BW,SW"
Senate,InsanityCPS,81735,81735,415,10/12/24,9c37447979574e44a08f8c494e1560da,397,0,,SB
Senate,BlaBit,81041,81041,193,20/07/25,73f00528b2ea4b93a38f96e7240460b3,2303,0,,BW
Senate,Babyfart4,45262,45262,1174,12/11/22,8e34c9eaf1da499e93832f5d6b6140b1,6907,0,,"BW,SB"
Senate,chewn,18566,18566,285,19/04/25,48b50d1cd6b047519b2c9701373faffb,9955,0,,BW
Senate,Lgx_,5314,5314,735,25/01/24,b5b27708f7c84f539d68226c98dd2da5,12617,0,,"BW,BB"
Senate,LucidBridge,0,0,889,24/08/23,0e45fdca740347afb8c7bdb1019c12b0,0,0,,-


Elder,kermit80,974973,974973,728,01/02/24,963e2c33f2254e9db5f544051ef3d412,17822,0,,BW
Elder,VoidVictim,724776,724776,761,30/12/23,34ff535d8ea446bc92ccce97c0dbdf2d,18,0,,-
Elder,Yumon,611523,611523,25,04/01/26,5567e04703d649b4b35edd2500378cb9,12136,0,,"AP,BW"
Elder,snowykey,561710,561710,371,23/01/25,b183352cc7094369adbf0a9f2438d625,11446,0,,SB
Elder,blowjosh,369094,369094,38,22/12/25,3da84ba3828d4f1e857bd1e3270bc944,12711,0,,BW
Elder,Haudraufienix,340513,340513,1194,23/10/22,b23d9dabc16741079518bb8c0dd190b8,30080,0,,"BW,SB"
Elder,oMqrie,162533,162533,592,16/06/24,6def3350159a40f6a6c2e83d284156d3,9948,0,,"AP,BW,SB"
Elder,Drayyvon,150572,150572,1026,09/04/23,57a887d55da54e1f97e38c68fecd7bf1,11405,0,,"AP,BW,SB"
Elder,qDrax,135139,135139,538,09/08/24,af1f84979ca7404eb7e9f76e3385b601,7214,0,,BW
Elder,Jemarre,126478,126478,1532,19/11/21,f9eaee020e114e96935d92e850959146,11316,0,,BW
Elder,crazyTreeXD,114157,114157,569,09/07/24,a981f3a4737046a89b34bec70799317b,4790,0,,"BW,SB"
Elder,Shiecka,97728,97728,959,15/06/23,94cf058cfde04044ad3c01ac8bdf0b90,8321,0,,BW
Elder,frogInc_,70082,70082,1163,23/11/22,cc07d2e8594b4fc1a90fb215a2b15c55,16079,0,,BW
Elder,R3mu_EST,68629,68629,762,29/12/23,29fed3a9dc9f4344b06752d01ba0c2ab,8348,0,,BW
Elder,Gxringverdiener,38710,38710,1090,04/02/23,dfb9a5bfe9c9402db82fc8aa294320e7,13872,0,,BW
Elder,Firefalc,34582,34582,375,19/01/25,da15c7864dd340c8b17b19fc8e8315f1,11233,0,,BW
Elder,qCorgi,25482,25482,774,17/12/23,db8061e7718147449171bee78a72937e,6275,0,,BW
Elder,REAL_TEst,2645,2645,1475,15/01/22,462943910de94b9eabcbcf3aaad1f1b8,217,0,,-
Elder,undisplayed,0,0,2658,20/10/18,e27c440924a6484aa15d7f28509edf10,2922,0,,-
Elder,Applezzi,0,0,1163,23/11/22,61b6fdedb0124a01986ae8b5267d52a4,1189,0,,-
Elder,DBCD,0,0,726,03/02/24,60fd65c33e10428ca7d2de2b80fa9f03,5149,0,,BW
Elder,Pangeo,0,0,501,15/09/24,d8b120bfb7e8454590718849eef8fc42,2914,0,,"BW,SB"
Elder,Drayyvon_Twitch,0,0,426,29/11/24,61ca0d76c82348d3a20ea11e707eab03,9335,0,,BW

Rookie,JurrienTimber,750769,750769,749,11/01/24,6f3f119c198c4c26b9b9fbd56ad8d5f8,116,0,,-
Rookie,SwimMachine7,323347,565857,4,25/01/26,d8a4fc06ec6c47ef9b84454c88f95c59,4354,0,,BW
Rookie,Sqoz,534213,534213,224,19/06/25,2f16a5af1d324fda88648b7467c018a1,11388,0,,BW
Rookie,Sweatrs,370613,370613,15,14/01/26,6c607aa2e7d94613a72ea172ccc24bbe,5432,0,,-
Rookie,Lama____,346682,346682,29,31/12/25,2820714a4ff74f779b5660bfd6fe7b48,6372,0,,BW
Rookie,TryhardArk,195496,273694,5,24/01/26,6aa399dbed7340e5988823010594af97,1185,0,,-
Rookie,OpsFaiL,252488,252488,81,09/11/25,dce4918432884d3ebaf49e773d46e84f,20548,0,,BW
Rookie,OneBigShot,248979,248979,39,21/12/25,667194bcad984b5d91c8ab825f094d9b,1975,0,,-
Rookie,piedude723,238011,238011,32,28/12/25,6cce41c9b8b6440887d61ac7161ed4ac,3317,0,,BW
Rookie,oBild,233553,233553,115,06/10/25,d72de9b3bb20479cb16d45d766f36c26,7487,0,,BW
Rookie,DaySlayer69,227300,227300,20,09/01/26,76c3bd143873408887eeb42e81ae648e,2907,0,,BW
Rookie,Cvcki,159710,223594,5,24/01/26,3b6782efa6d244b4b8631c52c4c6b32b,4966,0,,BW
Rookie,ZeKingSG,220649,220649,39,21/12/25,f004020897e345ec8b89fa03d2d07022,14057,0,,BW
Rookie,Antcombos,207667,207667,25,04/01/26,a0b2692cc9ce42e28c9f6d82733d8ea6,316,0,,SB
